"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-05-12
"20 - 24",4,0,107,0,111,2022-05-12
"25 - 29",4,1,178,11,194,2022-05-12
"30 - 34",5,0,313,13,331,2022-05-12
"35 - 39",3,3,395,26,427,2022-05-12
"40 - 44",9,1,496,48,554,2022-05-12
"45 - 49",8,3,882,92,985,2022-05-12
"50 - 54",17,3,1392,212,1624,2022-05-12
"55 - 59",30,4,1866,367,2267,2022-05-12
"60 - 64",21,9,2044,661,2735,2022-05-12
"65 - 69",30,11,1995,1004,3040,2022-05-12
"70 - 74",25,10,1738,1325,3098,2022-05-12
"75 - 79",22,3,923,941,1889,2022-05-12
"80 - 84",10,2,222,300,534,2022-05-12
"85 - 89",0,0,46,51,97,2022-05-12
">90",0,1,6,4,11,2022-05-12
