"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,26,3,29,2021-09-24
"20 - 24",5,0,58,0,63,2021-09-24
"25 - 29",4,3,117,7,131,2021-09-24
"30 - 34",2,7,206,7,222,2021-09-24
"35 - 39",4,10,241,15,270,2021-09-24
"40 - 44",2,14,346,30,392,2021-09-24
"45 - 49",14,9,645,69,737,2021-09-24
"50 - 54",19,24,1071,153,1267,2021-09-24
"55 - 59",12,28,1456,267,1763,2021-09-24
"60 - 64",18,27,1551,474,2070,2021-09-24
"65 - 69",15,28,1540,743,2326,2021-09-24
"70 - 74",13,22,1359,1020,2414,2021-09-24
"75 - 79",7,10,675,711,1403,2021-09-24
"80 - 84",2,2,143,232,379,2021-09-24
"85 - 89",0,0,19,40,59,2021-09-24
">90",0,0,3,2,5,2021-09-24
