"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,58,7,67,2022-12-13
"20 - 24",4,0,117,2,123,2022-12-13
"25 - 29",2,0,194,13,209,2022-12-13
"30 - 34",3,1,330,14,348,2022-12-13
"35 - 39",4,2,414,26,446,2022-12-13
"40 - 44",2,1,527,52,582,2022-12-13
"45 - 49",3,3,911,98,1015,2022-12-13
"50 - 54",10,3,1440,223,1676,2022-12-13
"55 - 59",13,5,1949,389,2356,2022-12-13
"60 - 64",10,3,2131,688,2832,2022-12-13
"65 - 69",19,7,2104,1050,3180,2022-12-13
"70 - 74",17,7,1859,1378,3261,2022-12-13
"75 - 79",15,8,1032,984,2039,2022-12-13
"80 - 84",12,0,281,326,619,2022-12-13
"85 - 89",4,0,61,62,127,2022-12-13
">90",0,0,15,9,24,2022-12-13
