"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,27,3,30,2021-10-20
"20 - 24",3,0,61,0,64,2021-10-20
"25 - 29",6,3,123,7,139,2021-10-20
"30 - 34",2,2,216,7,227,2021-10-20
"35 - 39",3,8,255,17,283,2021-10-20
"40 - 44",5,9,361,33,408,2021-10-20
"45 - 49",7,3,665,70,745,2021-10-20
"50 - 54",12,17,1096,160,1285,2021-10-20
"55 - 59",12,18,1488,274,1792,2021-10-20
"60 - 64",13,22,1581,486,2102,2021-10-20
"65 - 69",11,33,1563,756,2363,2021-10-20
"70 - 74",11,29,1378,1035,2453,2021-10-20
"75 - 79",8,15,683,718,1424,2021-10-20
"80 - 84",4,2,146,239,391,2021-10-20
"85 - 89",0,0,19,41,60,2021-10-20
">90",0,0,3,2,5,2021-10-20
