"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,28,4,33,2021-11-15
"20 - 24",3,2,64,0,69,2021-11-15
"25 - 29",4,5,132,8,149,2021-11-15
"30 - 34",3,5,223,7,238,2021-11-15
"35 - 39",13,10,270,19,312,2021-11-15
"40 - 44",10,13,373,33,429,2021-11-15
"45 - 49",13,18,685,72,788,2021-11-15
"50 - 54",21,36,1119,163,1339,2021-11-15
"55 - 59",19,35,1517,278,1849,2021-11-15
"60 - 64",23,69,1615,509,2216,2021-11-15
"65 - 69",21,63,1597,785,2466,2021-11-15
"70 - 74",28,55,1398,1074,2555,2021-11-15
"75 - 79",10,52,701,738,1501,2021-11-15
"80 - 84",3,6,153,250,412,2021-11-15
"85 - 89",0,1,20,42,63,2021-11-15
">90",0,0,3,2,5,2021-11-15
