"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,20,3,25,2021-07-22
"20 - 24",4,1,47,0,52,2021-07-22
"25 - 29",2,3,94,6,105,2021-07-22
"30 - 34",1,3,167,6,177,2021-07-22
"35 - 39",0,1,196,14,211,2021-07-22
"40 - 44",4,7,299,27,337,2021-07-22
"45 - 49",4,8,584,65,661,2021-07-22
"50 - 54",16,19,997,141,1173,2021-07-22
"55 - 59",12,12,1380,251,1655,2021-07-22
"60 - 64",10,13,1481,453,1957,2021-07-22
"65 - 69",9,17,1484,719,2229,2021-07-22
"70 - 74",11,16,1318,993,2338,2021-07-22
"75 - 79",10,0,654,686,1350,2021-07-22
"80 - 84",1,0,139,228,368,2021-07-22
"85 - 89",0,0,17,37,54,2021-07-22
">90",0,0,4,2,6,2021-07-22
