"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,48,7,59,2022-08-02
"20 - 24",4,0,110,1,115,2022-08-02
"25 - 29",4,0,185,12,201,2022-08-02
"30 - 34",6,2,323,13,344,2022-08-02
"35 - 39",4,1,402,26,433,2022-08-02
"40 - 44",8,3,507,50,568,2022-08-02
"45 - 49",7,3,890,93,993,2022-08-02
"50 - 54",8,4,1410,217,1639,2022-08-02
"55 - 59",16,5,1908,376,2305,2022-08-02
"60 - 64",17,10,2078,676,2781,2022-08-02
"65 - 69",27,7,2039,1020,3093,2022-08-02
"70 - 74",23,13,1773,1340,3149,2022-08-02
"75 - 79",21,6,965,955,1947,2022-08-02
"80 - 84",7,3,243,310,563,2022-08-02
"85 - 89",1,0,48,55,104,2022-08-02
">90",0,0,9,5,14,2022-08-02
