"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,20,3,25,2021-07-20
"20 - 24",4,1,47,0,52,2021-07-20
"25 - 29",2,3,94,6,105,2021-07-20
"30 - 34",2,3,167,6,178,2021-07-20
"35 - 39",0,2,196,14,212,2021-07-20
"40 - 44",3,6,299,27,335,2021-07-20
"45 - 49",6,7,582,65,660,2021-07-20
"50 - 54",13,16,999,141,1169,2021-07-20
"55 - 59",13,10,1378,251,1652,2021-07-20
"60 - 64",10,10,1481,452,1953,2021-07-20
"65 - 69",11,18,1483,718,2230,2021-07-20
"70 - 74",11,17,1318,993,2339,2021-07-20
"75 - 79",7,2,654,685,1348,2021-07-20
"80 - 84",1,0,139,228,368,2021-07-20
"85 - 89",0,0,17,37,54,2021-07-20
">90",0,0,4,2,6,2021-07-20
