"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,62,8,71,2023-02-13
"20 - 24",2,0,120,2,124,2023-02-13
"25 - 29",0,0,198,13,211,2023-02-13
"30 - 34",2,0,334,14,350,2023-02-13
"35 - 39",3,0,422,27,452,2023-02-13
"40 - 44",1,0,532,54,587,2023-02-13
"45 - 49",2,0,918,97,1017,2023-02-13
"50 - 54",8,1,1457,229,1695,2023-02-13
"55 - 59",7,3,1975,395,2380,2023-02-13
"60 - 64",15,4,2163,694,2876,2023-02-13
"65 - 69",14,3,2148,1068,3233,2023-02-13
"70 - 74",15,9,1908,1393,3325,2023-02-13
"75 - 79",11,5,1075,1002,2093,2023-02-13
"80 - 84",10,3,310,338,661,2023-02-13
"85 - 89",7,0,65,70,142,2023-02-13
">90",0,0,16,9,25,2023-02-13
