"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-09-02
"20 - 24",3,0,113,1,117,2022-09-02
"25 - 29",1,0,191,12,204,2022-09-02
"30 - 34",4,0,323,14,341,2022-09-02
"35 - 39",3,0,404,26,433,2022-09-02
"40 - 44",3,3,512,50,568,2022-09-02
"45 - 49",5,0,896,94,995,2022-09-02
"50 - 54",9,2,1416,218,1645,2022-09-02
"55 - 59",11,2,1922,382,2317,2022-09-02
"60 - 64",15,10,2083,681,2789,2022-09-02
"65 - 69",15,6,2053,1025,3099,2022-09-02
"70 - 74",21,4,1794,1347,3166,2022-09-02
"75 - 79",6,3,986,960,1955,2022-09-02
"80 - 84",7,2,247,312,568,2022-09-02
"85 - 89",0,1,51,55,107,2022-09-02
">90",0,0,9,7,16,2022-09-02
