"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,28,4,34,2021-11-19
"20 - 24",4,4,64,0,72,2021-11-19
"25 - 29",5,5,132,8,150,2021-11-19
"30 - 34",5,10,226,7,248,2021-11-19
"35 - 39",9,14,277,19,319,2021-11-19
"40 - 44",11,16,378,33,438,2021-11-19
"45 - 49",13,18,690,73,794,2021-11-19
"50 - 54",34,37,1123,163,1357,2021-11-19
"55 - 59",26,43,1520,280,1869,2021-11-19
"60 - 64",19,86,1625,513,2243,2021-11-19
"65 - 69",21,85,1604,791,2501,2021-11-19
"70 - 74",24,63,1409,1082,2578,2021-11-19
"75 - 79",14,53,704,743,1514,2021-11-19
"80 - 84",7,3,155,250,415,2021-11-19
"85 - 89",1,1,20,42,64,2021-11-19
">90",0,0,3,2,5,2021-11-19
