"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,47,7,57,2022-07-26
"20 - 24",5,0,110,0,115,2022-07-26
"25 - 29",4,1,184,12,201,2022-07-26
"30 - 34",6,2,322,13,343,2022-07-26
"35 - 39",4,1,399,26,430,2022-07-26
"40 - 44",7,3,506,50,566,2022-07-26
"45 - 49",7,2,890,92,991,2022-07-26
"50 - 54",9,7,1407,215,1638,2022-07-26
"55 - 59",21,5,1903,375,2304,2022-07-26
"60 - 64",15,10,2074,674,2773,2022-07-26
"65 - 69",25,10,2031,1019,3085,2022-07-26
"70 - 74",24,11,1770,1339,3144,2022-07-26
"75 - 79",20,6,962,953,1941,2022-07-26
"80 - 84",7,2,241,310,560,2022-07-26
"85 - 89",0,0,48,55,103,2022-07-26
">90",0,1,8,5,14,2022-07-26
