"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,43,6,52,2022-03-30
"20 - 24",4,1,102,0,107,2022-03-30
"25 - 29",5,0,175,11,191,2022-03-30
"30 - 34",5,2,310,11,328,2022-03-30
"35 - 39",4,3,390,26,423,2022-03-30
"40 - 44",5,7,487,47,546,2022-03-30
"45 - 49",10,4,869,91,974,2022-03-30
"50 - 54",21,6,1371,207,1605,2022-03-30
"55 - 59",24,18,1839,359,2240,2022-03-30
"60 - 64",27,20,2001,642,2690,2022-03-30
"65 - 69",36,17,1946,992,2991,2022-03-30
"70 - 74",33,32,1683,1300,3048,2022-03-30
"75 - 79",30,16,882,918,1846,2022-03-30
"80 - 84",4,8,203,288,503,2022-03-30
"85 - 89",4,3,33,49,89,2022-03-30
">90",1,0,4,4,9,2022-03-30
