"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-13
"20 - 24",2,0,120,2,124,2023-01-13
"25 - 29",0,0,197,13,210,2023-01-13
"30 - 34",3,0,332,14,349,2023-01-13
"35 - 39",3,0,420,27,450,2023-01-13
"40 - 44",1,1,530,53,585,2023-01-13
"45 - 49",2,0,917,98,1017,2023-01-13
"50 - 54",9,2,1453,229,1693,2023-01-13
"55 - 59",9,7,1964,394,2374,2023-01-13
"60 - 64",11,8,2156,690,2865,2023-01-13
"65 - 69",18,5,2130,1061,3214,2023-01-13
"70 - 74",18,12,1887,1387,3304,2023-01-13
"75 - 79",17,8,1056,997,2078,2023-01-13
"80 - 84",8,4,298,335,645,2023-01-13
"85 - 89",2,1,65,66,134,2023-01-13
">90",0,0,15,9,24,2023-01-13
