"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-02-22
"20 - 24",8,1,88,0,97,2022-02-22
"25 - 29",4,2,167,11,184,2022-02-22
"30 - 34",8,1,293,11,313,2022-02-22
"35 - 39",9,1,377,24,411,2022-02-22
"40 - 44",8,8,468,42,526,2022-02-22
"45 - 49",13,9,845,87,954,2022-02-22
"50 - 54",23,15,1340,199,1577,2022-02-22
"55 - 59",37,18,1787,350,2192,2022-02-22
"60 - 64",37,38,1926,616,2617,2022-02-22
"65 - 69",38,32,1863,960,2893,2022-02-22
"70 - 74",36,22,1616,1265,2939,2022-02-22
"75 - 79",17,20,842,892,1771,2022-02-22
"80 - 84",10,4,183,279,476,2022-02-22
"85 - 89",0,0,31,48,79,2022-02-22
">90",0,0,4,3,7,2022-02-22
