"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-05-09
"20 - 24",4,0,107,0,111,2022-05-09
"25 - 29",4,1,178,11,194,2022-05-09
"30 - 34",5,0,313,13,331,2022-05-09
"35 - 39",3,0,395,26,424,2022-05-09
"40 - 44",11,1,494,48,554,2022-05-09
"45 - 49",8,2,882,92,984,2022-05-09
"50 - 54",18,3,1391,212,1624,2022-05-09
"55 - 59",29,5,1865,367,2266,2022-05-09
"60 - 64",23,8,2040,659,2730,2022-05-09
"65 - 69",30,12,1993,1004,3039,2022-05-09
"70 - 74",33,12,1730,1323,3098,2022-05-09
"75 - 79",22,4,918,940,1884,2022-05-09
"80 - 84",8,4,220,300,532,2022-05-09
"85 - 89",0,0,45,51,96,2022-05-09
">90",0,0,6,4,10,2022-05-09
