"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,49,7,60,2022-08-10
"20 - 24",4,0,111,1,116,2022-08-10
"25 - 29",1,0,188,12,201,2022-08-10
"30 - 34",5,1,325,14,345,2022-08-10
"35 - 39",3,1,404,26,434,2022-08-10
"40 - 44",6,3,510,50,569,2022-08-10
"45 - 49",3,2,896,93,994,2022-08-10
"50 - 54",6,3,1414,218,1641,2022-08-10
"55 - 59",13,6,1912,377,2308,2022-08-10
"60 - 64",13,9,2084,678,2784,2022-08-10
"65 - 69",18,6,2053,1021,3098,2022-08-10
"70 - 74",20,10,1783,1342,3155,2022-08-10
"75 - 79",19,6,974,957,1956,2022-08-10
"80 - 84",8,3,244,311,566,2022-08-10
"85 - 89",0,0,49,55,104,2022-08-10
">90",0,0,9,5,14,2022-08-10
