"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,43,6,52,2022-03-26
"20 - 24",3,2,102,0,107,2022-03-26
"25 - 29",4,1,175,11,191,2022-03-26
"30 - 34",5,1,310,11,327,2022-03-26
"35 - 39",4,1,390,26,421,2022-03-26
"40 - 44",7,4,484,47,542,2022-03-26
"45 - 49",11,8,865,89,973,2022-03-26
"50 - 54",20,10,1367,206,1603,2022-03-26
"55 - 59",21,15,1836,359,2231,2022-03-26
"60 - 64",32,21,1987,641,2681,2022-03-26
"65 - 69",34,25,1936,988,2983,2022-03-26
"70 - 74",28,38,1677,1297,3040,2022-03-26
"75 - 79",25,22,875,916,1838,2022-03-26
"80 - 84",5,5,198,288,496,2022-03-26
"85 - 89",3,1,33,49,86,2022-03-26
">90",2,0,3,4,9,2022-03-26
