"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-08-29
"20 - 24",4,0,55,0,59,2021-08-29
"25 - 29",3,5,110,7,125,2021-08-29
"30 - 34",2,13,180,6,201,2021-08-29
"35 - 39",8,6,224,15,253,2021-08-29
"40 - 44",1,13,331,28,373,2021-08-29
"45 - 49",10,13,628,67,718,2021-08-29
"50 - 54",18,32,1041,146,1237,2021-08-29
"55 - 59",8,28,1432,260,1728,2021-08-29
"60 - 64",14,37,1517,465,2033,2021-08-29
"65 - 69",16,35,1511,733,2295,2021-08-29
"70 - 74",14,19,1338,1008,2379,2021-08-29
"75 - 79",4,17,671,696,1388,2021-08-29
"80 - 84",1,1,142,229,373,2021-08-29
"85 - 89",0,1,18,38,57,2021-08-29
">90",0,0,3,2,5,2021-08-29
