"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-09-14
"20 - 24",4,0,113,1,118,2022-09-14
"25 - 29",1,0,191,12,204,2022-09-14
"30 - 34",4,0,323,14,341,2022-09-14
"35 - 39",2,0,405,26,433,2022-09-14
"40 - 44",4,0,514,50,568,2022-09-14
"45 - 49",3,0,898,95,996,2022-09-14
"50 - 54",9,4,1420,219,1652,2022-09-14
"55 - 59",9,3,1924,382,2318,2022-09-14
"60 - 64",11,7,2089,681,2788,2022-09-14
"65 - 69",14,9,2059,1026,3108,2022-09-14
"70 - 74",14,3,1803,1348,3168,2022-09-14
"75 - 79",6,3,989,961,1959,2022-09-14
"80 - 84",9,3,248,312,572,2022-09-14
"85 - 89",1,1,51,55,108,2022-09-14
">90",1,0,9,7,17,2022-09-14
