"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-06-07
"20 - 24",5,0,107,0,112,2022-06-07
"25 - 29",3,1,182,11,197,2022-06-07
"30 - 34",4,0,315,13,332,2022-06-07
"35 - 39",4,1,397,26,428,2022-06-07
"40 - 44",6,1,500,48,555,2022-06-07
"45 - 49",6,1,887,91,985,2022-06-07
"50 - 54",14,1,1396,213,1624,2022-06-07
"55 - 59",20,5,1881,370,2276,2022-06-07
"60 - 64",11,4,2057,665,2737,2022-06-07
"65 - 69",23,11,2009,1008,3051,2022-06-07
"70 - 74",15,7,1754,1335,3111,2022-06-07
"75 - 79",20,3,936,942,1901,2022-06-07
"80 - 84",4,3,228,302,537,2022-06-07
"85 - 89",0,0,46,53,99,2022-06-07
">90",0,0,7,5,12,2022-06-07
