"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,59,7,68,2022-12-27
"20 - 24",4,0,117,2,123,2022-12-27
"25 - 29",1,0,195,13,209,2022-12-27
"30 - 34",3,1,330,14,348,2022-12-27
"35 - 39",3,2,417,26,448,2022-12-27
"40 - 44",2,1,527,53,583,2022-12-27
"45 - 49",3,1,913,97,1014,2022-12-27
"50 - 54",11,1,1444,226,1682,2022-12-27
"55 - 59",12,8,1955,391,2366,2022-12-27
"60 - 64",13,8,2140,689,2850,2022-12-27
"65 - 69",20,4,2115,1055,3194,2022-12-27
"70 - 74",15,11,1867,1378,3271,2022-12-27
"75 - 79",16,8,1041,990,2055,2022-12-27
"80 - 84",9,5,288,330,632,2022-12-27
"85 - 89",6,0,61,62,129,2022-12-27
">90",0,0,15,9,24,2022-12-27
