"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-09-29
"20 - 24",4,0,113,1,118,2022-09-29
"25 - 29",1,1,191,12,205,2022-09-29
"30 - 34",4,0,324,14,342,2022-09-29
"35 - 39",2,0,408,26,436,2022-09-29
"40 - 44",4,1,516,50,571,2022-09-29
"45 - 49",3,0,901,95,999,2022-09-29
"50 - 54",9,2,1424,219,1654,2022-09-29
"55 - 59",10,3,1927,382,2322,2022-09-29
"60 - 64",13,6,2092,681,2792,2022-09-29
"65 - 69",15,8,2065,1028,3116,2022-09-29
"70 - 74",14,11,1809,1348,3182,2022-09-29
"75 - 79",9,6,993,962,1970,2022-09-29
"80 - 84",8,3,253,317,581,2022-09-29
"85 - 89",3,1,53,57,114,2022-09-29
">90",1,0,10,7,18,2022-09-29
