"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,56,7,65,2022-11-25
"20 - 24",4,0,116,3,123,2022-11-25
"25 - 29",2,0,194,13,209,2022-11-25
"30 - 34",3,0,330,14,347,2022-11-25
"35 - 39",4,3,412,26,445,2022-11-25
"40 - 44",2,0,527,52,581,2022-11-25
"45 - 49",4,0,907,98,1009,2022-11-25
"50 - 54",10,2,1438,221,1671,2022-11-25
"55 - 59",12,3,1945,387,2347,2022-11-25
"60 - 64",15,5,2120,687,2827,2022-11-25
"65 - 69",22,6,2094,1044,3166,2022-11-25
"70 - 74",18,11,1849,1372,3250,2022-11-25
"75 - 79",19,4,1020,982,2025,2022-11-25
"80 - 84",11,1,275,325,612,2022-11-25
"85 - 89",3,1,60,62,126,2022-11-25
">90",0,0,13,9,22,2022-11-25
