"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,42,6,50,2022-03-19
"20 - 24",4,2,100,0,106,2022-03-19
"25 - 29",4,1,174,11,190,2022-03-19
"30 - 34",5,3,305,11,324,2022-03-19
"35 - 39",3,2,388,24,417,2022-03-19
"40 - 44",5,7,480,45,537,2022-03-19
"45 - 49",11,10,860,89,970,2022-03-19
"50 - 54",21,10,1362,205,1598,2022-03-19
"55 - 59",24,14,1829,357,2224,2022-03-19
"60 - 64",26,20,1977,637,2660,2022-03-19
"65 - 69",36,28,1917,981,2962,2022-03-19
"70 - 74",31,31,1663,1286,3011,2022-03-19
"75 - 79",20,18,865,911,1814,2022-03-19
"80 - 84",5,6,197,285,493,2022-03-19
"85 - 89",0,0,32,49,81,2022-03-19
">90",0,0,3,3,6,2022-03-19
