"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,26,3,29,2021-09-22
"20 - 24",5,0,58,0,63,2021-09-22
"25 - 29",3,4,117,7,131,2021-09-22
"30 - 34",3,6,205,7,221,2021-09-22
"35 - 39",3,11,240,15,269,2021-09-22
"40 - 44",2,13,345,30,390,2021-09-22
"45 - 49",10,9,647,69,735,2021-09-22
"50 - 54",14,29,1071,152,1266,2021-09-22
"55 - 59",12,29,1453,268,1762,2021-09-22
"60 - 64",17,30,1549,473,2069,2021-09-22
"65 - 69",16,29,1538,743,2326,2021-09-22
"70 - 74",12,22,1359,1019,2412,2021-09-22
"75 - 79",6,10,675,711,1402,2021-09-22
"80 - 84",2,1,143,232,378,2021-09-22
"85 - 89",0,0,19,40,59,2021-09-22
">90",0,0,3,2,5,2021-09-22
