"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,64,7,74,2023-03-20
"20 - 24",1,0,124,3,128,2023-03-20
"25 - 29",0,0,201,13,214,2023-03-20
"30 - 34",0,1,336,14,351,2023-03-20
"35 - 39",3,0,426,28,457,2023-03-20
"40 - 44",1,0,537,55,593,2023-03-20
"45 - 49",3,2,922,100,1027,2023-03-20
"50 - 54",4,3,1467,234,1708,2023-03-20
"55 - 59",6,5,1989,398,2398,2023-03-20
"60 - 64",9,12,2182,698,2901,2023-03-20
"65 - 69",11,12,2166,1077,3266,2023-03-20
"70 - 74",12,14,1946,1402,3374,2023-03-20
"75 - 79",17,9,1097,1012,2135,2023-03-20
"80 - 84",6,6,325,346,683,2023-03-20
"85 - 89",4,1,76,76,157,2023-03-20
">90",2,1,18,10,31,2023-03-20
