"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-12
"20 - 24",5,1,113,2,121,2022-10-12
"25 - 29",2,2,192,12,208,2022-10-12
"30 - 34",4,1,326,14,345,2022-10-12
"35 - 39",2,0,408,26,436,2022-10-12
"40 - 44",4,0,517,51,572,2022-10-12
"45 - 49",3,1,901,96,1001,2022-10-12
"50 - 54",11,0,1426,219,1656,2022-10-12
"55 - 59",11,6,1931,382,2330,2022-10-12
"60 - 64",14,7,2099,682,2802,2022-10-12
"65 - 69",18,4,2069,1030,3121,2022-10-12
"70 - 74",21,13,1817,1350,3201,2022-10-12
"75 - 79",18,2,1000,966,1986,2022-10-12
"80 - 84",11,3,257,320,591,2022-10-12
"85 - 89",4,3,54,58,119,2022-10-12
">90",0,1,12,8,21,2022-10-12
