"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,33,4,41,2021-12-23
"20 - 24",5,4,74,0,83,2021-12-23
"25 - 29",6,4,147,9,166,2021-12-23
"30 - 34",17,10,260,9,296,2021-12-23
"35 - 39",10,13,328,19,370,2021-12-23
"40 - 44",15,12,420,38,485,2021-12-23
"45 - 49",27,37,755,81,900,2021-12-23
"50 - 54",38,52,1225,174,1489,2021-12-23
"55 - 59",54,81,1630,308,2073,2021-12-23
"60 - 64",50,107,1753,562,2472,2021-12-23
"65 - 69",53,99,1713,873,2738,2021-12-23
"70 - 74",45,89,1495,1178,2807,2021-12-23
"75 - 79",29,50,759,830,1668,2021-12-23
"80 - 84",8,3,161,267,439,2021-12-23
"85 - 89",1,1,24,44,70,2021-12-23
">90",0,1,3,3,7,2021-12-23
