"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,38,6,46,2022-02-23
"20 - 24",8,1,88,0,97,2022-02-23
"25 - 29",3,2,168,11,184,2022-02-23
"30 - 34",7,1,294,11,313,2022-02-23
"35 - 39",8,1,379,24,412,2022-02-23
"40 - 44",9,6,468,42,525,2022-02-23
"45 - 49",12,9,847,88,956,2022-02-23
"50 - 54",21,17,1344,199,1581,2022-02-23
"55 - 59",35,19,1791,350,2195,2022-02-23
"60 - 64",37,37,1928,617,2619,2022-02-23
"65 - 69",39,32,1866,960,2897,2022-02-23
"70 - 74",35,22,1619,1265,2941,2022-02-23
"75 - 79",18,18,842,892,1770,2022-02-23
"80 - 84",9,2,183,281,475,2022-02-23
"85 - 89",0,0,31,48,79,2022-02-23
">90",0,0,4,3,7,2022-02-23
