"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-02-01
"20 - 24",2,0,120,2,124,2023-02-01
"25 - 29",0,0,198,13,211,2023-02-01
"30 - 34",2,0,334,14,350,2023-02-01
"35 - 39",3,0,421,27,451,2023-02-01
"40 - 44",1,1,531,53,586,2023-02-01
"45 - 49",3,0,917,97,1017,2023-02-01
"50 - 54",9,1,1455,229,1694,2023-02-01
"55 - 59",8,5,1973,394,2380,2023-02-01
"60 - 64",10,5,2163,693,2871,2023-02-01
"65 - 69",12,3,2145,1066,3226,2023-02-01
"70 - 74",17,6,1905,1389,3317,2023-02-01
"75 - 79",16,7,1066,1000,2089,2023-02-01
"80 - 84",7,3,306,338,654,2023-02-01
"85 - 89",6,2,63,69,140,2023-02-01
">90",1,0,15,9,25,2023-02-01
