"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,28,4,33,2021-11-10
"20 - 24",3,0,63,0,66,2021-11-10
"25 - 29",4,5,130,8,147,2021-11-10
"30 - 34",2,5,222,7,236,2021-11-10
"35 - 39",5,12,269,19,305,2021-11-10
"40 - 44",8,13,371,33,425,2021-11-10
"45 - 49",9,19,682,70,780,2021-11-10
"50 - 54",17,29,1115,163,1324,2021-11-10
"55 - 59",20,35,1510,276,1841,2021-11-10
"60 - 64",18,53,1609,501,2181,2021-11-10
"65 - 69",22,58,1586,777,2443,2021-11-10
"70 - 74",18,61,1394,1062,2535,2021-11-10
"75 - 79",14,30,697,731,1472,2021-11-10
"80 - 84",5,4,151,247,407,2021-11-10
"85 - 89",1,0,19,41,61,2021-11-10
">90",0,0,3,2,5,2021-11-10
