"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,6,55,2022-06-15
"20 - 24",4,0,108,0,112,2022-06-15
"25 - 29",4,0,182,11,197,2022-06-15
"30 - 34",4,1,315,13,333,2022-06-15
"35 - 39",4,1,397,26,428,2022-06-15
"40 - 44",7,0,501,48,556,2022-06-15
"45 - 49",7,0,887,92,986,2022-06-15
"50 - 54",13,2,1397,213,1625,2022-06-15
"55 - 59",21,8,1882,371,2282,2022-06-15
"60 - 64",12,6,2058,665,2741,2022-06-15
"65 - 69",26,9,2011,1008,3054,2022-06-15
"70 - 74",15,3,1756,1336,3110,2022-06-15
"75 - 79",20,3,938,942,1903,2022-06-15
"80 - 84",4,4,228,303,539,2022-06-15
"85 - 89",0,1,46,53,100,2022-06-15
">90",0,0,7,5,12,2022-06-15
