"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,3,32,4,39,2021-12-18
"20 - 24",5,3,73,0,81,2021-12-18
"25 - 29",7,3,146,9,165,2021-12-18
"30 - 34",8,20,258,9,295,2021-12-18
"35 - 39",8,18,320,19,365,2021-12-18
"40 - 44",9,23,414,37,483,2021-12-18
"45 - 49",26,42,740,79,887,2021-12-18
"50 - 54",36,56,1211,171,1474,2021-12-18
"55 - 59",45,86,1620,300,2051,2021-12-18
"60 - 64",45,113,1732,555,2445,2021-12-18
"65 - 69",61,100,1690,860,2711,2021-12-18
"70 - 74",44,97,1478,1165,2784,2021-12-18
"75 - 79",26,58,751,819,1654,2021-12-18
"80 - 84",8,5,161,264,438,2021-12-18
"85 - 89",1,1,23,44,69,2021-12-18
">90",0,0,3,3,6,2021-12-18
