"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-05
"20 - 24",4,1,113,2,120,2022-10-05
"25 - 29",2,1,191,12,206,2022-10-05
"30 - 34",5,0,325,14,344,2022-10-05
"35 - 39",2,0,408,26,436,2022-10-05
"40 - 44",4,1,516,50,571,2022-10-05
"45 - 49",2,1,901,94,998,2022-10-05
"50 - 54",9,2,1426,219,1656,2022-10-05
"55 - 59",11,4,1927,382,2324,2022-10-05
"60 - 64",9,7,2097,681,2794,2022-10-05
"65 - 69",17,4,2065,1030,3116,2022-10-05
"70 - 74",17,9,1810,1349,3185,2022-10-05
"75 - 79",14,6,995,962,1977,2022-10-05
"80 - 84",8,5,255,318,586,2022-10-05
"85 - 89",2,2,54,57,115,2022-10-05
">90",0,0,10,8,18,2022-10-05
