"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,46,7,57,2022-07-12
"20 - 24",5,1,109,0,115,2022-07-12
"25 - 29",2,1,184,12,199,2022-07-12
"30 - 34",4,1,320,13,338,2022-07-12
"35 - 39",3,1,398,26,428,2022-07-12
"40 - 44",5,2,505,49,561,2022-07-12
"45 - 49",6,2,890,91,989,2022-07-12
"50 - 54",8,2,1404,214,1628,2022-07-12
"55 - 59",16,7,1898,373,2294,2022-07-12
"60 - 64",12,8,2065,673,2758,2022-07-12
"65 - 69",27,10,2024,1016,3077,2022-07-12
"70 - 74",24,7,1762,1339,3132,2022-07-12
"75 - 79",19,6,954,949,1928,2022-07-12
"80 - 84",8,5,234,308,555,2022-07-12
"85 - 89",1,0,47,54,102,2022-07-12
">90",0,0,7,5,12,2022-07-12
