"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-05-04
"20 - 24",4,0,107,0,111,2022-05-04
"25 - 29",4,0,178,11,193,2022-05-04
"30 - 34",8,0,311,13,332,2022-05-04
"35 - 39",3,0,395,26,424,2022-05-04
"40 - 44",11,1,494,48,554,2022-05-04
"45 - 49",8,3,881,91,983,2022-05-04
"50 - 54",18,2,1391,212,1623,2022-05-04
"55 - 59",27,7,1864,367,2265,2022-05-04
"60 - 64",22,13,2037,657,2729,2022-05-04
"65 - 69",29,11,1991,1000,3031,2022-05-04
"70 - 74",27,13,1730,1323,3093,2022-05-04
"75 - 79",24,5,916,938,1883,2022-05-04
"80 - 84",9,3,219,300,531,2022-05-04
"85 - 89",2,1,43,51,97,2022-05-04
">90",0,0,6,4,10,2022-05-04
