"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,37,5,46,2022-01-29
"20 - 24",3,4,81,0,88,2022-01-29
"25 - 29",4,3,160,10,177,2022-01-29
"30 - 34",3,3,289,11,306,2022-01-29
"35 - 39",9,9,362,21,401,2022-01-29
"40 - 44",5,8,458,40,511,2022-01-29
"45 - 49",21,14,814,86,935,2022-01-29
"50 - 54",31,23,1310,191,1555,2022-01-29
"55 - 59",35,29,1745,341,2150,2022-01-29
"60 - 64",33,39,1894,605,2571,2022-01-29
"65 - 69",43,36,1829,935,2843,2022-01-29
"70 - 74",27,42,1580,1249,2898,2022-01-29
"75 - 79",21,18,814,873,1726,2022-01-29
"80 - 84",8,1,177,273,459,2022-01-29
"85 - 89",1,1,27,46,75,2022-01-29
">90",0,0,4,3,7,2022-01-29
