"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,7,56,2022-07-05
"20 - 24",5,0,109,0,114,2022-07-05
"25 - 29",4,0,183,12,199,2022-07-05
"30 - 34",5,2,318,13,338,2022-07-05
"35 - 39",3,3,397,26,429,2022-07-05
"40 - 44",7,1,503,49,560,2022-07-05
"45 - 49",5,1,890,91,987,2022-07-05
"50 - 54",11,3,1401,214,1629,2022-07-05
"55 - 59",17,5,1895,373,2290,2022-07-05
"60 - 64",11,8,2063,672,2754,2022-07-05
"65 - 69",26,9,2020,1011,3066,2022-07-05
"70 - 74",18,5,1759,1338,3120,2022-07-05
"75 - 79",20,5,947,945,1917,2022-07-05
"80 - 84",7,3,231,307,548,2022-07-05
"85 - 89",1,0,47,54,102,2022-07-05
">90",0,0,7,5,12,2022-07-05
