"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,45,6,54,2022-04-05
"20 - 24",6,1,103,0,110,2022-04-05
"25 - 29",5,1,175,11,192,2022-04-05
"30 - 34",5,3,310,12,330,2022-04-05
"35 - 39",3,2,392,26,423,2022-04-05
"40 - 44",6,6,489,47,548,2022-04-05
"45 - 49",8,3,872,91,974,2022-04-05
"50 - 54",17,6,1378,209,1610,2022-04-05
"55 - 59",25,13,1847,361,2246,2022-04-05
"60 - 64",25,19,2013,645,2702,2022-04-05
"65 - 69",29,17,1961,992,2999,2022-04-05
"70 - 74",33,27,1692,1306,3058,2022-04-05
"75 - 79",29,8,891,923,1851,2022-04-05
"80 - 84",9,10,204,289,512,2022-04-05
"85 - 89",1,3,37,49,90,2022-04-05
">90",1,0,4,4,9,2022-04-05
