"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,51,7,61,2022-10-06
"20 - 24",5,0,113,2,120,2022-10-06
"25 - 29",2,1,191,12,206,2022-10-06
"30 - 34",5,0,325,14,344,2022-10-06
"35 - 39",2,0,408,26,436,2022-10-06
"40 - 44",4,1,516,50,571,2022-10-06
"45 - 49",2,2,901,95,1000,2022-10-06
"50 - 54",9,3,1426,219,1657,2022-10-06
"55 - 59",13,1,1929,382,2325,2022-10-06
"60 - 64",11,5,2097,681,2794,2022-10-06
"65 - 69",16,4,2067,1030,3117,2022-10-06
"70 - 74",16,9,1811,1350,3186,2022-10-06
"75 - 79",16,9,995,962,1982,2022-10-06
"80 - 84",8,6,255,318,587,2022-10-06
"85 - 89",3,0,54,58,115,2022-10-06
">90",0,2,10,8,20,2022-10-06
