"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,25,3,28,2021-09-02
"20 - 24",3,0,56,0,59,2021-09-02
"25 - 29",6,2,111,7,126,2021-09-02
"30 - 34",5,12,182,7,206,2021-09-02
"35 - 39",4,9,229,15,257,2021-09-02
"40 - 44",3,12,332,29,376,2021-09-02
"45 - 49",7,14,632,67,720,2021-09-02
"50 - 54",16,24,1055,146,1241,2021-09-02
"55 - 59",11,25,1434,261,1731,2021-09-02
"60 - 64",18,37,1521,466,2042,2021-09-02
"65 - 69",10,33,1523,734,2300,2021-09-02
"70 - 74",17,15,1339,1012,2383,2021-09-02
"75 - 79",3,16,673,701,1393,2021-09-02
"80 - 84",3,2,141,229,375,2021-09-02
"85 - 89",2,0,18,38,58,2021-09-02
">90",0,0,3,2,5,2021-09-02
