"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-06-10
"20 - 24",4,0,108,0,112,2022-06-10
"25 - 29",4,0,182,11,197,2022-06-10
"30 - 34",4,1,315,13,333,2022-06-10
"35 - 39",4,1,397,26,428,2022-06-10
"40 - 44",7,0,501,48,556,2022-06-10
"45 - 49",7,0,887,92,986,2022-06-10
"50 - 54",13,1,1397,213,1624,2022-06-10
"55 - 59",20,6,1880,370,2276,2022-06-10
"60 - 64",13,3,2058,665,2739,2022-06-10
"65 - 69",24,8,2011,1008,3051,2022-06-10
"70 - 74",15,7,1754,1335,3111,2022-06-10
"75 - 79",19,2,938,942,1901,2022-06-10
"80 - 84",4,2,228,302,536,2022-06-10
"85 - 89",0,0,46,53,99,2022-06-10
">90",0,0,7,5,12,2022-06-10
