"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,36,4,43,2022-01-11
"20 - 24",4,2,78,0,84,2022-01-11
"25 - 29",7,6,152,10,175,2022-01-11
"30 - 34",7,5,283,11,306,2022-01-11
"35 - 39",6,7,352,21,386,2022-01-11
"40 - 44",10,14,441,40,505,2022-01-11
"45 - 49",24,26,786,86,922,2022-01-11
"50 - 54",29,50,1277,184,1540,2022-01-11
"55 - 59",36,50,1705,330,2121,2022-01-11
"60 - 64",40,73,1839,589,2541,2022-01-11
"65 - 69",59,63,1772,912,2806,2022-01-11
"70 - 74",30,61,1551,1229,2871,2022-01-11
"75 - 79",27,39,787,859,1712,2022-01-11
"80 - 84",8,3,169,271,451,2022-01-11
"85 - 89",0,0,27,45,72,2022-01-11
">90",1,0,3,3,7,2022-01-11
