"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,43,6,51,2022-03-24
"20 - 24",4,3,100,0,107,2022-03-24
"25 - 29",5,1,174,11,191,2022-03-24
"30 - 34",6,1,309,11,327,2022-03-24
"35 - 39",5,0,389,26,420,2022-03-24
"40 - 44",6,4,484,47,541,2022-03-24
"45 - 49",13,10,862,89,974,2022-03-24
"50 - 54",19,11,1365,206,1601,2022-03-24
"55 - 59",23,14,1833,359,2229,2022-03-24
"60 - 64",28,21,1985,641,2675,2022-03-24
"65 - 69",33,24,1930,988,2975,2022-03-24
"70 - 74",30,40,1672,1293,3035,2022-03-24
"75 - 79",24,17,875,915,1831,2022-03-24
"80 - 84",4,5,198,288,495,2022-03-24
"85 - 89",3,0,33,49,85,2022-03-24
">90",2,0,3,4,9,2022-03-24
