"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,46,6,54,2022-04-18
"20 - 24",4,1,106,0,111,2022-04-18
"25 - 29",5,0,177,11,193,2022-04-18
"30 - 34",7,2,310,13,332,2022-04-18
"35 - 39",4,0,394,26,424,2022-04-18
"40 - 44",8,8,491,47,554,2022-04-18
"45 - 49",9,5,875,92,981,2022-04-18
"50 - 54",17,6,1384,212,1619,2022-04-18
"55 - 59",26,13,1855,364,2258,2022-04-18
"60 - 64",21,15,2024,652,2712,2022-04-18
"65 - 69",34,22,1969,995,3020,2022-04-18
"70 - 74",28,16,1714,1315,3073,2022-04-18
"75 - 79",24,13,905,931,1873,2022-04-18
"80 - 84",9,5,212,295,521,2022-04-18
"85 - 89",2,1,40,50,93,2022-04-18
">90",1,0,5,4,10,2022-04-18
