"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-20
"20 - 24",2,0,120,2,124,2023-01-20
"25 - 29",0,0,197,13,210,2023-01-20
"30 - 34",3,0,332,14,349,2023-01-20
"35 - 39",2,1,421,27,451,2023-01-20
"40 - 44",0,2,531,53,586,2023-01-20
"45 - 49",2,0,917,97,1016,2023-01-20
"50 - 54",9,3,1453,229,1694,2023-01-20
"55 - 59",9,4,1968,394,2375,2023-01-20
"60 - 64",10,8,2159,693,2870,2023-01-20
"65 - 69",15,8,2137,1063,3223,2023-01-20
"70 - 74",19,8,1894,1388,3309,2023-01-20
"75 - 79",16,10,1060,998,2084,2023-01-20
"80 - 84",8,3,301,335,647,2023-01-20
"85 - 89",3,1,64,69,137,2023-01-20
">90",0,1,15,9,25,2023-01-20
