"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,26,3,30,2021-09-28
"20 - 24",5,1,58,0,64,2021-09-28
"25 - 29",5,3,117,7,132,2021-09-28
"30 - 34",6,3,207,7,223,2021-09-28
"35 - 39",6,8,241,15,270,2021-09-28
"40 - 44",4,13,346,31,394,2021-09-28
"45 - 49",16,4,648,69,737,2021-09-28
"50 - 54",20,19,1076,155,1270,2021-09-28
"55 - 59",18,19,1460,269,1766,2021-09-28
"60 - 64",20,26,1552,475,2073,2021-09-28
"65 - 69",14,27,1545,745,2331,2021-09-28
"70 - 74",10,24,1364,1020,2418,2021-09-28
"75 - 79",9,11,675,711,1406,2021-09-28
"80 - 84",2,1,143,233,379,2021-09-28
"85 - 89",0,0,19,40,59,2021-09-28
">90",0,0,3,2,5,2021-09-28
