"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,46,7,56,2022-07-01
"20 - 24",5,1,108,0,114,2022-07-01
"25 - 29",4,0,183,12,199,2022-07-01
"30 - 34",5,2,317,13,337,2022-07-01
"35 - 39",3,4,397,26,430,2022-07-01
"40 - 44",5,2,503,49,559,2022-07-01
"45 - 49",7,1,888,92,988,2022-07-01
"50 - 54",11,2,1401,214,1628,2022-07-01
"55 - 59",21,8,1889,372,2290,2022-07-01
"60 - 64",10,8,2063,671,2752,2022-07-01
"65 - 69",27,8,2019,1011,3065,2022-07-01
"70 - 74",18,3,1757,1338,3116,2022-07-01
"75 - 79",21,5,944,944,1914,2022-07-01
"80 - 84",7,3,231,304,545,2022-07-01
"85 - 89",1,0,47,54,102,2022-07-01
">90",0,0,7,5,12,2022-07-01
