"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,38,6,45,2022-02-11
"20 - 24",6,2,87,0,95,2022-02-11
"25 - 29",2,5,165,11,183,2022-02-11
"30 - 34",7,3,288,11,309,2022-02-11
"35 - 39",8,3,373,22,406,2022-02-11
"40 - 44",10,5,462,42,519,2022-02-11
"45 - 49",17,10,831,87,945,2022-02-11
"50 - 54",28,18,1326,196,1568,2022-02-11
"55 - 59",42,27,1764,346,2179,2022-02-11
"60 - 64",32,35,1910,613,2590,2022-02-11
"65 - 69",42,34,1847,950,2873,2022-02-11
"70 - 74",34,29,1598,1257,2918,2022-02-11
"75 - 79",16,21,829,882,1748,2022-02-11
"80 - 84",8,4,181,275,468,2022-02-11
"85 - 89",1,1,28,47,77,2022-02-11
">90",0,0,4,3,7,2022-02-11
