"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,50,7,61,2022-08-25
"20 - 24",3,0,114,1,118,2022-08-25
"25 - 29",1,1,190,12,204,2022-08-25
"30 - 34",4,0,326,14,344,2022-08-25
"35 - 39",3,1,405,26,435,2022-08-25
"40 - 44",5,2,512,50,569,2022-08-25
"45 - 49",3,2,898,94,997,2022-08-25
"50 - 54",6,3,1417,218,1644,2022-08-25
"55 - 59",13,4,1918,382,2317,2022-08-25
"60 - 64",13,8,2090,681,2792,2022-08-25
"65 - 69",12,12,2063,1022,3109,2022-08-25
"70 - 74",21,6,1793,1347,3167,2022-08-25
"75 - 79",10,3,990,960,1963,2022-08-25
"80 - 84",6,1,249,312,568,2022-08-25
"85 - 89",1,0,50,55,106,2022-08-25
">90",0,1,9,6,16,2022-08-25
