"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,43,6,51,2022-03-29
"20 - 24",4,1,102,0,107,2022-03-29
"25 - 29",4,1,175,11,191,2022-03-29
"30 - 34",5,1,310,11,327,2022-03-29
"35 - 39",4,2,390,26,422,2022-03-29
"40 - 44",5,6,487,47,545,2022-03-29
"45 - 49",11,5,867,91,974,2022-03-29
"50 - 54",20,7,1371,207,1605,2022-03-29
"55 - 59",24,12,1838,359,2233,2022-03-29
"60 - 64",31,20,1994,642,2687,2022-03-29
"65 - 69",35,22,1941,991,2989,2022-03-29
"70 - 74",30,33,1682,1300,3045,2022-03-29
"75 - 79",30,20,879,918,1847,2022-03-29
"80 - 84",2,11,202,288,503,2022-03-29
"85 - 89",4,1,33,49,87,2022-03-29
">90",2,0,3,4,9,2022-03-29
