"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,50,7,60,2022-08-22
"20 - 24",3,0,114,1,118,2022-08-22
"25 - 29",1,0,190,12,203,2022-08-22
"30 - 34",4,0,326,14,344,2022-08-22
"35 - 39",3,0,405,26,434,2022-08-22
"40 - 44",5,2,511,50,568,2022-08-22
"45 - 49",3,2,897,94,996,2022-08-22
"50 - 54",6,4,1416,218,1644,2022-08-22
"55 - 59",14,2,1917,381,2314,2022-08-22
"60 - 64",13,8,2087,681,2789,2022-08-22
"65 - 69",17,11,2057,1021,3106,2022-08-22
"70 - 74",24,8,1787,1344,3163,2022-08-22
"75 - 79",15,5,983,959,1962,2022-08-22
"80 - 84",7,1,248,311,567,2022-08-22
"85 - 89",1,0,50,55,106,2022-08-22
">90",0,1,9,6,16,2022-08-22
