"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,53,7,63,2022-11-02
"20 - 24",5,0,115,3,123,2022-11-02
"25 - 29",2,0,193,13,208,2022-11-02
"30 - 34",3,0,330,14,347,2022-11-02
"35 - 39",2,3,411,26,442,2022-11-02
"40 - 44",3,0,523,52,578,2022-11-02
"45 - 49",6,0,903,97,1006,2022-11-02
"50 - 54",11,4,1432,220,1667,2022-11-02
"55 - 59",12,4,1939,385,2340,2022-11-02
"60 - 64",16,8,2111,686,2821,2022-11-02
"65 - 69",23,9,2083,1037,3152,2022-11-02
"70 - 74",21,11,1836,1366,3234,2022-11-02
"75 - 79",17,8,1012,974,2011,2022-11-02
"80 - 84",11,2,270,322,605,2022-11-02
"85 - 89",7,0,57,61,125,2022-11-02
">90",0,0,13,9,22,2022-11-02
