"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-19
"20 - 24",2,0,120,2,124,2023-01-19
"25 - 29",0,0,197,13,210,2023-01-19
"30 - 34",3,0,332,14,349,2023-01-19
"35 - 39",2,1,421,27,451,2023-01-19
"40 - 44",0,2,531,53,586,2023-01-19
"45 - 49",2,0,917,98,1017,2023-01-19
"50 - 54",9,3,1453,229,1694,2023-01-19
"55 - 59",10,6,1967,394,2377,2023-01-19
"60 - 64",9,8,2160,692,2869,2023-01-19
"65 - 69",15,10,2134,1063,3222,2023-01-19
"70 - 74",19,7,1894,1388,3308,2023-01-19
"75 - 79",15,11,1059,997,2082,2023-01-19
"80 - 84",7,4,301,335,647,2023-01-19
"85 - 89",3,1,64,69,137,2023-01-19
">90",0,1,15,9,25,2023-01-19
