"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,1,35,4,43,2022-01-04
"20 - 24",4,3,77,0,84,2022-01-04
"25 - 29",4,5,151,10,170,2022-01-04
"30 - 34",7,8,278,11,304,2022-01-04
"35 - 39",8,7,345,21,381,2022-01-04
"40 - 44",9,14,436,38,497,2022-01-04
"45 - 49",14,37,779,85,915,2022-01-04
"50 - 54",29,48,1262,180,1519,2022-01-04
"55 - 59",54,61,1672,322,2109,2022-01-04
"60 - 64",45,80,1809,583,2517,2022-01-04
"65 - 69",45,77,1758,900,2780,2022-01-04
"70 - 74",31,74,1532,1217,2854,2022-01-04
"75 - 79",29,44,778,850,1701,2022-01-04
"80 - 84",7,2,167,271,447,2022-01-04
"85 - 89",1,1,24,45,71,2022-01-04
">90",0,1,3,3,7,2022-01-04
