"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,0,64,7,73,2023-03-14
"20 - 24",2,0,123,3,128,2023-03-14
"25 - 29",0,1,200,13,214,2023-03-14
"30 - 34",2,0,334,14,350,2023-03-14
"35 - 39",4,0,424,28,456,2023-03-14
"40 - 44",1,1,536,55,593,2023-03-14
"45 - 49",4,1,919,101,1025,2023-03-14
"50 - 54",10,3,1460,233,1706,2023-03-14
"55 - 59",10,7,1980,397,2394,2023-03-14
"60 - 64",17,9,2174,698,2898,2023-03-14
"65 - 69",19,12,2154,1075,3260,2023-03-14
"70 - 74",19,18,1934,1402,3373,2023-03-14
"75 - 79",18,10,1089,1012,2129,2023-03-14
"80 - 84",9,4,321,346,680,2023-03-14
"85 - 89",5,0,75,75,155,2023-03-14
">90",1,1,18,10,30,2023-03-14
