"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,59,7,70,2022-12-30
"20 - 24",4,1,117,2,124,2022-12-30
"25 - 29",1,0,195,13,209,2022-12-30
"30 - 34",3,1,330,14,348,2022-12-30
"35 - 39",4,2,417,26,449,2022-12-30
"40 - 44",2,2,527,53,584,2022-12-30
"45 - 49",3,1,913,97,1014,2022-12-30
"50 - 54",11,1,1445,226,1683,2022-12-30
"55 - 59",14,5,1956,391,2366,2022-12-30
"60 - 64",16,7,2141,689,2853,2022-12-30
"65 - 69",19,5,2119,1055,3198,2022-12-30
"70 - 74",16,11,1871,1380,3278,2022-12-30
"75 - 79",14,14,1042,993,2063,2022-12-30
"80 - 84",10,2,292,331,635,2022-12-30
"85 - 89",6,0,62,62,130,2022-12-30
">90",0,0,15,9,24,2022-12-30
