"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,62,8,71,2023-01-26
"20 - 24",2,0,120,2,124,2023-01-26
"25 - 29",0,0,198,13,211,2023-01-26
"30 - 34",2,0,333,14,349,2023-01-26
"35 - 39",2,1,421,27,451,2023-01-26
"40 - 44",0,2,531,53,586,2023-01-26
"45 - 49",3,0,917,97,1017,2023-01-26
"50 - 54",9,1,1455,229,1694,2023-01-26
"55 - 59",9,4,1972,394,2379,2023-01-26
"60 - 64",11,5,2161,693,2870,2023-01-26
"65 - 69",12,3,2143,1066,3224,2023-01-26
"70 - 74",17,5,1900,1389,3311,2023-01-26
"75 - 79",17,7,1062,999,2085,2023-01-26
"80 - 84",9,2,303,337,651,2023-01-26
"85 - 89",5,1,63,69,138,2023-01-26
">90",1,0,15,9,25,2023-01-26
