"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,46,6,55,2022-05-11
"20 - 24",4,0,107,0,111,2022-05-11
"25 - 29",4,1,178,11,194,2022-05-11
"30 - 34",5,0,313,13,331,2022-05-11
"35 - 39",3,2,395,26,426,2022-05-11
"40 - 44",10,1,495,48,554,2022-05-11
"45 - 49",8,3,882,92,985,2022-05-11
"50 - 54",17,4,1392,212,1625,2022-05-11
"55 - 59",30,4,1866,367,2267,2022-05-11
"60 - 64",23,9,2043,661,2736,2022-05-11
"65 - 69",29,11,1995,1004,3039,2022-05-11
"70 - 74",28,11,1735,1324,3098,2022-05-11
"75 - 79",21,7,923,940,1891,2022-05-11
"80 - 84",10,3,222,300,535,2022-05-11
"85 - 89",0,0,46,51,97,2022-05-11
">90",0,0,6,4,10,2022-05-11
