"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,28,4,35,2021-11-09
"20 - 24",4,0,62,0,66,2021-11-09
"25 - 29",5,5,129,8,147,2021-11-09
"30 - 34",2,4,221,7,234,2021-11-09
"35 - 39",3,11,269,19,302,2021-11-09
"40 - 44",6,14,370,33,423,2021-11-09
"45 - 49",12,18,678,70,778,2021-11-09
"50 - 54",15,28,1116,163,1322,2021-11-09
"55 - 59",15,36,1509,276,1836,2021-11-09
"60 - 64",20,49,1605,501,2175,2021-11-09
"65 - 69",24,58,1583,775,2440,2021-11-09
"70 - 74",18,57,1392,1059,2526,2021-11-09
"75 - 79",16,25,695,731,1467,2021-11-09
"80 - 84",5,5,151,246,407,2021-11-09
"85 - 89",1,0,19,41,61,2021-11-09
">90",0,0,3,2,5,2021-11-09
