"urls","number","category","year","week"
"https://www.cbs.nl/nl-nl/maatwerk/2021/27/overledenen-per-week-provincie-en-gemeente-week-26-2021","202127",TRUE,"2021","27"
"https://www.cbs.nl/nl-nl/maatwerk/2021/28/overledenen-per-week-provincie-en-gemeente-week-27-2021","202128",TRUE,"2021","28"
"https://www.cbs.nl/nl-nl/maatwerk/2021/29/overledenen-per-week-provincie-en-gemeente-week-28-2021","202129",TRUE,"2021","29"
"https://www.cbs.nl/nl-nl/maatwerk/2021/30/overledenen-per-week-provincie-en-gemeente-week-29-2021","202130",TRUE,"2021","30"
"https://www.cbs.nl/nl-nl/maatwerk/2021/31/overledenen-per-week-provincie-en-gemeente-week-30-2021","202131",TRUE,"2021","31"
"https://www.cbs.nl/nl-nl/maatwerk/2021/32/overledenen-per-week-provincie-en-gemeente-week-31-2021","202132",TRUE,"2021","32"
"https://www.cbs.nl/nl-nl/maatwerk/2021/33/overledenen-per-week-provincie-en-gemeente-week-32-2021","202133",TRUE,"2021","33"
"https://www.cbs.nl/nl-nl/maatwerk/2021/34/overledenen-per-week-provincie-en-gemeente-week-33-2021","202134",TRUE,"2021","34"
"https://www.cbs.nl/nl-nl/maatwerk/2021/35/overledenen-per-week-provincie-en-gemeente-week-34-2021","202135",TRUE,"2021","35"
"https://www.cbs.nl/nl-nl/maatwerk/2021/36/overledenen-per-week-provincie-en-gemeente-week-35-2021","202136",TRUE,"2021","36"
"https://www.cbs.nl/nl-nl/maatwerk/2021/37/overledenen-per-week-provincie-en-gemeente-week-36-2021","202137",TRUE,"2021","37"
"https://www.cbs.nl/nl-nl/maatwerk/2021/38/overledenen-per-week-provincie-en-gemeente-week-37-2021","202138",TRUE,"2021","38"
"https://www.cbs.nl/nl-nl/maatwerk/2021/39/overledenen-per-week-provincie-en-gemeente-week-38-2021","202139",TRUE,"2021","39"
"https://www.cbs.nl/nl-nl/maatwerk/2021/40/overledenen-per-week-provincie-en-gemeente-week-39-2021","202140",TRUE,"2021","40"
"https://www.cbs.nl/nl-nl/maatwerk/2021/41/overledenen-per-week-provincie-en-gemeente-week-40-2021","202141",TRUE,"2021","41"
"https://www.cbs.nl/nl-nl/maatwerk/2021/42/overledenen-per-week-provincie-en-gemeente-week-41-2021","202142",TRUE,"2021","42"
"https://www.cbs.nl/nl-nl/maatwerk/2021/43/overledenen-per-week-provincie-en-gemeente-week-42-2021","202143",TRUE,"2021","43"
"https://www.cbs.nl/nl-nl/maatwerk/2021/44/overledenen-per-week-provincie-en-gemeente-week-43-2021","202144",TRUE,"2021","44"
"https://www.cbs.nl/nl-nl/maatwerk/2021/45/overledenen-per-week-provincie-en-gemeente-week-44-2021","202145",TRUE,"2021","45"
"https://www.cbs.nl/nl-nl/maatwerk/2021/46/overledenen-per-week-provincie-en-gemeente-week-45-2021","202146",TRUE,"2021","46"
"https://www.cbs.nl/nl-nl/maatwerk/2021/47/overledenen-per-week-provincie-en-gemeente-week-46-2021","202147",TRUE,"2021","47"
"https://www.cbs.nl/nl-nl/maatwerk/2021/48/overledenen-per-week-provincie-en-gemeente-week-47-2021","202148",TRUE,"2021","48"
"https://www.cbs.nl/nl-nl/maatwerk/2021/49/overledenen-per-week-provincie-en-gemeente-week-48-2021","202149",TRUE,"2021","49"
"https://www.cbs.nl/nl-nl/maatwerk/2021/50/overledenen-per-week-provincie-en-gemeente-week-49-2021","202150",TRUE,"2021","50"
"https://www.cbs.nl/nl-nl/maatwerk/2021/51/overledenen-per-week-provincie-en-gemeente-week-50-2021","202151",TRUE,"2021","51"
"https://www.cbs.nl/nl-nl/maatwerk/2021/52/overledenen-per-week-provincie-en-gemeente-week-51-2021","202152",TRUE,"2021","52"
"https://www.cbs.nl/nl-nl/maatwerk/2022/01/overledenen-per-week-provincie-en-gemeente-week-52-2021","202201",TRUE,"2022","01"
"https://www.cbs.nl/nl-nl/maatwerk/2022/02/overledenen-per-week-provincie-en-gemeente-week-1-2022","202202",TRUE,"2022","02"
"https://www.cbs.nl/nl-nl/maatwerk/2022/03/overledenen-per-week-provincie-en-gemeente-week-2-2022","202203",TRUE,"2022","03"
"https://www.cbs.nl/nl-nl/maatwerk/2022/04/overledenen-per-week-provincie-en-gemeente-week-3-2022","202204",TRUE,"2022","04"
"https://www.cbs.nl/nl-nl/maatwerk/2022/05/overledenen-per-week-provincie-en-gemeente-week-4-2022","202205",TRUE,"2022","05"
"https://www.cbs.nl/nl-nl/maatwerk/2022/06/overledenen-per-week-provincie-en-gemeente-week-5-2022","202206",TRUE,"2022","06"
"https://www.cbs.nl/nl-nl/maatwerk/2022/07/overledenen-per-week-provincie-en-gemeente-week-6-2022","202207",TRUE,"2022","07"
"https://www.cbs.nl/nl-nl/maatwerk/2022/08/overledenen-per-week-provincie-en-gemeente-week-7-2022","202208",TRUE,"2022","08"
"https://www.cbs.nl/nl-nl/maatwerk/2022/09/overledenen-per-week-provincie-en-gemeente-week-8-2022","202209",TRUE,"2022","09"
"https://www.cbs.nl/nl-nl/maatwerk/2022/10/overledenen-per-week-provincie-en-gemeente-week-9-2022","202210",TRUE,"2022","10"
"https://www.cbs.nl/nl-nl/maatwerk/2022/11/overledenen-per-week-provincie-en-gemeente-week-10-2022","202211",TRUE,"2022","11"
"https://www.cbs.nl/nl-nl/maatwerk/2022/12/overledenen-per-week-provincie-en-gemeente-week-11-2022","202212",TRUE,"2022","12"
"https://www.cbs.nl/nl-nl/maatwerk/2022/13/overledenen-per-week-provincie-en-gemeente-week-12-2022","202213",TRUE,"2022","13"
"https://www.cbs.nl/nl-nl/maatwerk/2022/14/overledenen-per-week-provincie-en-gemeente-week-13-2022","202214",TRUE,"2022","14"
"https://www.cbs.nl/nl-nl/maatwerk/2022/15/overledenen-per-week-provincie-en-gemeente-week-14-2022","202215",TRUE,"2022","15"
"https://www.cbs.nl/nl-nl/maatwerk/2022/16/overledenen-per-week-provincie-en-gemeente-week-15-2022","202216",TRUE,"2022","16"
"https://www.cbs.nl/nl-nl/maatwerk/2022/17/overledenen-per-week-provincie-en-gemeente-week-16-2022","202217",TRUE,"2022","17"
"https://www.cbs.nl/nl-nl/maatwerk/2022/19/overledenen-per-week-provincie-en-gemeente-week-18-2022","202219",TRUE,"2022","19"
"https://www.cbs.nl/nl-nl/maatwerk/2022/20/overledenen-per-week-provincie-en-gemeente-week-19-2022","202220",TRUE,"2022","20"
"https://www.cbs.nl/nl-nl/maatwerk/2022/22/overledenen-per-week-provincie-en-gemeente-week-21-2022","202222",TRUE,"2022","22"
"https://www.cbs.nl/nl-nl/maatwerk/2022/23/overledenen-per-week-provincie-en-gemeente-week-22-2022","202223",TRUE,"2022","23"
"https://www.cbs.nl/nl-nl/maatwerk/2022/24/overledenen-per-week-provincie-en-gemeente-week-23-2022","202224",TRUE,"2022","24"
"https://www.cbs.nl/nl-nl/maatwerk/2022/25/overledenen-per-week-provincie-en-gemeente-week-24-2022","202225",TRUE,"2022","25"
"https://www.cbs.nl/nl-nl/maatwerk/2022/26/overledenen-per-week-provincie-en-gemeente-week-25-2022","202226",TRUE,"2022","26"
"https://www.cbs.nl/nl-nl/maatwerk/2022/27/overledenen-per-week-provincie-en-gemeente-week-26-2022","202227",TRUE,"2022","27"
"https://www.cbs.nl/nl-nl/maatwerk/2022/28/overledenen-per-week-provincie-en-gemeente-week-27-2022","202228",TRUE,"2022","28"
"https://www.cbs.nl/nl-nl/maatwerk/2022/29/overledenen-per-week-provincie-en-gemeente-week-28-2022","202229",TRUE,"2022","29"
"https://www.cbs.nl/nl-nl/maatwerk/2022/30/overledenen-per-week-provincie-en-gemeente-week-29-2022","202230",TRUE,"2022","30"
"https://www.cbs.nl/nl-nl/maatwerk/2022/31/overledenen-per-week-provincie-en-gemeente-week-30-2022","202231",TRUE,"2022","31"
"https://www.cbs.nl/nl-nl/maatwerk/2022/32/overledenen-per-week-provincie-en-gemeente-week-31-2022","202232",TRUE,"2022","32"
"https://www.cbs.nl/nl-nl/maatwerk/2022/33/overledenen-per-week-provincie-en-gemeente-week-32-2022","202233",TRUE,"2022","33"
"https://www.cbs.nl/nl-nl/maatwerk/2022/34/overledenen-per-week-provincie-en-gemeente-week-33-2022","202234",TRUE,"2022","34"
"https://www.cbs.nl/nl-nl/maatwerk/2022/35/overledenen-per-week-provincie-en-gemeente-week-34-2022","202235",TRUE,"2022","35"
"https://www.cbs.nl/nl-nl/maatwerk/2022/36/overledenen-per-week-provincie-en-gemeente-week-35-2022","202236",TRUE,"2022","36"
"https://www.cbs.nl/nl-nl/maatwerk/2022/37/overledenen-per-week-provincie-en-gemeente-week-36-2022","202237",TRUE,"2022","37"
"https://www.cbs.nl/nl-nl/maatwerk/2022/38/overledenen-per-week-provincie-en-gemeente-week-37-2022","202238",TRUE,"2022","38"
