"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",62,4959,18,5039,2023-03-28
"20 - 24",4,1228,4,1236,2023-03-28
"25 - 29",12,2091,3,2106,2023-03-28
"30 - 34",17,2848,18,2883,2023-03-28
"35 - 39",17,2893,19,2929,2023-03-28
"40 - 44",16,3164,25,3205,2023-03-28
"45 - 49",19,4498,50,4567,2023-03-28
"50 - 54",40,6980,128,7148,2023-03-28
"55 - 59",68,8659,244,8971,2023-03-28
"60 - 64",74,9641,443,10158,2023-03-28
"65 - 69",107,10513,890,11510,2023-03-28
"70 - 74",169,12858,1754,14781,2023-03-28
"75 - 79",220,13463,2948,16631,2023-03-28
"80 - 84",209,11846,3397,15452,2023-03-28
"85 - 89",187,8215,2664,11066,2023-03-28
">90",73,4042,1291,5406,2023-03-28
