"Leeftijd","Klinisch_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",93,3906,15,4014,2022-07-15
"20 - 24",10,1085,3,1098,2022-07-15
"25 - 29",15,1846,3,1864,2022-07-15
"30 - 34",20,2545,15,2580,2022-07-15
"35 - 39",10,2602,16,2628,2022-07-15
"40 - 44",18,2866,22,2906,2022-07-15
"45 - 49",32,4142,44,4218,2022-07-15
"50 - 54",42,6368,114,6524,2022-07-15
"55 - 59",74,7787,200,8061,2022-07-15
"60 - 64",93,8323,394,8810,2022-07-15
"65 - 69",96,8651,769,9516,2022-07-15
"70 - 74",156,10329,1561,12046,2022-07-15
"75 - 79",200,10194,2633,13027,2022-07-15
"80 - 84",198,8607,3047,11852,2022-07-15
"85 - 89",142,5779,2324,8245,2022-07-15
">90",81,2711,1080,3872,2022-07-15
